Name,Price,Rating,Store,ProductLink
IPHONE XR 64GB SECOND-99% LIKE NEW FULLSET ORI100% GARANSIRp5.050.000Jakarta UtaraWish Phonestore(7),Rp5.050.000,5,Jakarta UtaraWish Phonestore,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_JdHpjOHsUpbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_ypHAU7o_HaoZFiyRCsUsthHAnFbm-xgVYpyfYagZUEHpHFbsJ7osrdoAUFH_J7HpJDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_9j78JY1qpoozV1p_S2z8JYJz_-vzVu2_JoGqMzUZMgsHBgtyfO6Q7BkQfBo8_eF_1zsHjOJz_V68jjp_9208JYJypo-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ32jq1NIzM2gQuBR_VzDqO21u9z6z7jF_Sjhq1NkZMBHuJON_S2z8u21u_CguJVd3MB-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3Fd81Nc6IPy8j-M_1yNgjOc6IPy8j-M_1o-r7BX_M2iH72D3A-G83UpgI2q17jfZ32o8jOAoIx6zVjp_7zz81OJz9x6zJOdZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_320HJhk__zvzVVR_32oHjOJqRBvzVV2gBJYvZUDUSupg9-wq3ei6iUFUiFiy3hSUstiyfV7g3P5rSBwySBwrI-5gIusPmUDUMNOQ3-BrBY5gBYxgIHi6sJObm-XP3Oig9-wy3zp9R-BrZUEH_1DUMoxPVY2gIHi6BDfoZFaomFpHA1O9ZFiQBYsy3Njq3zxPcuwy3zpUstRHmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sUFo_eObm-FrMBsguYiq3ei6sJFHAnDUMP5y3hwq3ei6soY?src=directory&management_type=1&t=desktop&dv=desktop&page=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fwishph%2Fiphone-xr-64gb-second-99-like-new-fullset-ori100-garansi-putih-64gb%3Fsrc%3Dtopads
iPhone XS 64GB/256GB SECOND LIKE NEW 99% MULUS FULLSET - GARANSIRp5.205.000Jakarta UtaraWish Phonestore,Rp5.205.000,0,Jakarta UtaraWish Phonestore,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_JdHpjOHsUhbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHiFiPcBWgZUEH_ypHAU7o_HaoZFiyRCsUsthHAnFbm-xgVYpyfYagZUEHpUabsyhHpeOHAeRHAnpHAJDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_3j7HjYJz_uvuJBE_92s8JNk1_o6uJu2_JoGqMzUZMgsHBgtyfO6Q7BkQfBo8_eh_S2VHJOkgpV68j1F_32SH1NEz3BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2_s--HVB9_MBqqjV7_OPZQJN_HACgqBJp_VP-HjOWZ9zo8jjp_jzGQJN11MxozJgWZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY23I2-HVxEeMgozsxR3AJdPOxEeMgozsxRZ3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_92-81hk39xo8BJh_1zzH7OJe92ozJu2_JoG8Bja69BqusBE3BPc8ujagfBvq1BN_Oz-P1O139PvzcWd_32oH1O1__u617tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_uPbm-X9foxQMz2gcV7guYxgIHi6srFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEope7bm-FrMBsguYiq3ei6sJFHAnDUMP5y3hwq3ei6soY?page=1&src=directory&management_type=1&dv=desktop&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fwishph%2Fiphone-xs-64gb-256gb-second-like-new-99-mulus-fullset-garansi-hitam-64gb%3Fsrc%3Dtopads
HP BARU HP JADUL NOKIA 105 2017 DUAL SIM CARD GARANSI PROMO DISKONRp135.000Jakarta PusatSultan Gadget 1(24),Rp135.000,5,Jakarta PusatSultan Gadget 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_Uh6AefHAHdbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHaFiPcBWgZUEH_ypHAU7o_HaoZFiyRCsUstfHAnDUMVj9RosQR-BUstpH_yXo_ya6_yFHAHFHAJd6ZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo1pzN_7zCHjO1z9Pvucra_320H1Okz_C-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk19uvuJ1h_BzVHJN1qRBvuJOE_OzzoJB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qMz2_jPcqBBW39PHuch03BzuPJNIZ_C68_V2_M2Gq1h1_9B68BVN3BzuHVB1e9xqq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-QAxN_jydPOxEeMgozsBM_1ydPOxEeMgoe7BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjOd_Mj7H1NkZ_u6qjVR_92CP7O1gpu-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMrh_c2uH1NJqpCoucHO_92SoJOJZ3BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_xPbm-X9foxQMz2gcV7guYxgIHi6srFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEH_rN6AHDUSCaq3oB9f-2gmUEosnFbm-SQfVD9fBjUstpwe?t=desktop&dv=desktop&management_type=1&src=directory&page=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fsultangadget1%2Fhp-baru-hp-jadul-nokia-105-2017-dual-sim-card-garansi-promo-diskon%3Fsrc%3Dtopads
HP HANDPHONE NOKIA 106 2018 JADUL BARU NEW DUAL SIM TERMURAH MURAH 2Rp137.900Jakarta PusatToko Absolute 1(443),Rp137.900,5,Jakarta PusatToko Absolute 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AHaHAeFHpeDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosHFHseOHpUObm-srcHi6seOHmFiy3zwrfo5rM1i6sHhoZdFH_KfopKhHpnOHAHpoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo1pzR_BzsP7YJZ_C6uJjF_92V81YJqp--q9P23_oZ8uKp_Mhg3J2ky1o-ojBkZ9u6qjjF_M2s8JY1z_-ozJuR_jz0oJYAZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1jp332ZqVjaZMOoepnO3jPuH1h11MB6zco7332g8uB2HI2oqMHF_3OuH1NIz9PouOB2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12M_32ZgjOc6IPy8j-M3I2mgjOc6IPy8jV2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BE_uzuP1OJz_z6qMH7_uzoP7N1e92o8BB2_JoG8Bja69BqusBE3BPc8ujagfBvq1BN_S2-P1YJu9B6uJjF_jzC8JY1gpo6q1tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_xPbm-X9foxQMz2gcV7guYxgIHi6srFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEH_rN6AHDUSCaq3oB9f-2gmUEoA1Fbm-SQfVD9fBjUstpwe?r=https%3A%2F%2Fwww.tokopedia.com%2Ftoko-absolute%2Fhp-handphone-nokia-106-2018-jadul-baru-new-dual-sim-termurah-murah-2-hitam%3Fsrc%3Dtopads&dv=desktop&src=directory&t=desktop&page=1&management_type=1
iPhone X 64GB/256GB SECOND 99% MULUS LIKE NEW ORIGINAL Fullset-GARANSIRp4.720.000Jakarta UtaraWish Phonestore(2),Rp4.720.000,5,Jakarta UtaraWish Phonestore,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_JdHpjOHsUabm-xgVY789CBUsthbm-FQRo2PcB5QiUEoZFiPcBWgZUEH_ypHAU7o_HaoZFiyRCsUsthHAnFbm-xgVYpyfYagZUEHpJabseOH_eF6_nfHAjNo_rDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_3j781NJyRxvuJuR_uzV81OEu_u6uVu2_JoGqMzUZMgsHBgtyfO6Q7BkQfB6q_zN_M20H1Y1Z_C68BjF_7z0P7OkyfBHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2_s--HVB9_MBqqjV7_OPZQJN_HACgqBJp_VP-HjOWZ9zo8jjp_jzGQJN11MxozJgWZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY23I2-HVxEeMgozsxR3AJdPOxEeMgozsxRZ3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_92V81hk1_VouVVR_OzCHjOJqpu6uco2_JoG8Bja69BqusBE3BPc8ujagfBvq1BN_Oz-P1NJgRPvzcWE_32sP7Y1qRPvzVB2gBJYvZUDUSupg9-wq3ei6iUFUiFiy3hSUstiyfV7g3P5rSBwySBwrI-5gIusPmUDUMNOQ3-BrBY5gBYxgIHi6sJObm-XP3Oig9-wy3zp9R-BrZUEH_1DUMoxPVY2gIHi6BDfoZFaomFpHA1O9ZFiQBYsy3Njq3zxPcuwy3zpUstRHmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sr7omFirI-2yfuwyMBjUsthHAnFbm-SQfVD9fBjUstpwe?dv=desktop&src=directory&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fwishph%2Fiphone-x-64gb-256gb-second-99-mulus-like-new-original-fullset-garansi-hitam-64gb%3Fsrc%3Dtopads&page=1&management_type=1
"Xiaomi Redmi 9A 2/32 ~ 3/32 GB Garansi Resmi , IMEI TerdaftarRp1.189.000Jakarta Baratduniagadgetku(1078)",Rp1.189.000,5,Jakarta Baratduniagadgetku,https://www.tokopedia.com/duniagadgetku/xiaomi-redmi-9a-2-32-3-32-gb-garansi-resmi-imei-terdaftar-2-32-blue?whid=0
Xiaomi Official Poco X3 NFC 8/128GB Snapdragon™ 732G Mi SmartphoneRp3.299.000Kab. TangerangXiaomi Official Store(1958)Bisa Tukar Tambah,Rp3.299.000,5,Kab. TangerangXiaomi Official Store,https://www.tokopedia.com/xiaomi/xiaomi-official-poco-x3-nfc-8-128gb-snapdragon-732g-mi-smartphone-shadow-grey?whid=0
Evercoss Xtream 1 (S45)Rp479.000Jakarta UtaraEVERCOSS OFFICIAL STORE(54)Bisa Tukar Tambah,Rp479.000,5,Jakarta UtaraEVERCOSS OFFICIAL STORE,https://www.tokopedia.com/evercoss/evercoss-xtream-1-s45-hitam?whid=0
infinix hot 10 play 4/64Rp1.526.000Jakarta UtaraEN.Harry phone(473),Rp1.526.000,5,Jakarta UtaraEN.Harry phone,https://www.tokopedia.com/enharry/infinix-hot-10-play-4-64-random?whid=0
iphone XR 128GB 64GB SECOND ORIGINAL 100% LIKE NEW| MULUS NORMAL FULLSRp5.198.000Jakarta Pusatoscar68(181),Rp5.198.000,5,Jakarta Pusatoscar68,https://www.tokopedia.com/oscar68/iphone-xr-128gb-64gb-second-original-100-like-new-mulus-normal-fulls-red-64-gb?whid=0
